quadrat_ID,site,date,YYYYMMDD,habitat,quadrat,total_biomass,density,flowering_shoots,notes
1,Shakan - kelp,6/8/2019,20190608,kelp,1,620.9,NA,NA,
2,Shakan - kelp,6/8/2019,20190608,kelp,2,230.4,NA,NA,
3,Shakan - kelp,6/8/2019,20190608,kelp,3,869.4,NA,NA,
4,Shakan - kelp,6/8/2019,20190608,kelp,4,716,NA,NA,
5,Shakan - kelp,6/8/2019,20190608,kelp,5,748.7,NA,NA,
6,Shakan - eel,6/7/2019,20190607,seagrass,1,NA,29,0,32.4
7,Shakan - eel,6/7/2019,20190607,seagrass,2,NA,18,0,
8,Shakan - eel,6/7/2019,20190607,seagrass,3,NA,39,0,
9,Shakan - eel,6/7/2019,20190607,seagrass,4,NA,28,0,
10,Shakan - eel,6/7/2019,20190607,seagrass,5,NA,48,0,
11,Baker Island - eel,6/18/2019,20190618,seagrass,1,NA,138,0,
12,Baker Island - eel,6/18/2019,20190618,seagrass,2,NA,246,0,
13,Baker Island - eel,6/18/2019,20190618,seagrass,3,NA,309,0,
14,Baker Island - eel,6/18/2019,20190618,seagrass,4,NA,255,0,
15,Baker Island - eel,6/18/2019,20190618,seagrass,5,NA,156,0,
16,Goats mouth inlet,6/17/2019,20190617,seagrass,1,NA,71,0,
17,Goats mouth inlet,6/17/2019,20190617,seagrass,2,NA,95,0,
18,Goats mouth inlet,6/17/2019,20190617,seagrass,3,NA,61,0,
19,Goats mouth inlet,6/17/2019,20190617,seagrass,4,NA,77,0,
20,Goats mouth inlet,6/17/2019,20190617,seagrass,5,NA,87,0,
21,Naukati Bay,5/21/2019,20190521,seagrass,1,NA,67,0,
22,Naukati Bay,5/21/2019,20190521,seagrass,2,NA,88,0,
23,Naukati Bay,5/21/2019,20190521,seagrass,3,NA,105,0,
24,Naukati Bay,5/21/2019,20190521,seagrass,4,NA,58,0,
25,Naukati Bay,5/21/2019,20190521,seagrass,5,NA,89,0,
26,Dunbar Inlet,5/6/2019,20190506,seagrass,1,NA,151,0,small thin blades for most of the bed
27,Dunbar Inlet,5/6/2019,20190506,seagrass,2,NA,119,0,
28,Dunbar Inlet,5/6/2019,20190506,seagrass,3,NA,99,0,
29,Dunbar Inlet,5/6/2019,20190506,seagrass,4,NA,103,0,
30,Dunbar Inlet,5/6/2019,20190506,seagrass,5,NA,122,0,
31,Klawock airport,5/7/2019,20190507,seagrass,1,NA,141,0,
32,Klawock airport,5/7/2019,20190507,seagrass,2,NA,99,0,
33,Klawock airport,5/7/2019,20190507,seagrass,3,NA,89,0,
34,Klawock airport,5/7/2019,20190507,seagrass,4,NA,75,0,
35,Klawock airport,5/7/2019,20190507,seagrass,5,NA,57,0,
36,Salt Lake Bay,6/2/2019,20190602,seagrass,1,NA,154,0,
37,Salt Lake Bay,6/2/2019,20190602,seagrass,2,NA,113,0,
38,Salt Lake Bay,6/2/2019,20190602,seagrass,3,NA,105,0,
39,Salt Lake Bay,6/2/2019,20190602,seagrass,4,NA,98,0,
40,Salt Lake Bay,6/2/2019,20190602,seagrass,5,NA,77,0,
41,North Pass,5/9/2019,20190509,seagrass,1,NA,57,0,
42,North Pass,5/9/2019,20190509,seagrass,2,NA,51,0,
43,North Pass,5/9/2019,20190509,seagrass,3,NA,48,0,
44,North Pass,5/9/2019,20190509,seagrass,4,NA,56,0,
45,North Pass,5/9/2019,20190509,seagrass,5,NA,34,0,
46,South Wadleigh Island,5/10/2019,20190510,seagrass,1,NA,98,0,
47,South Wadleigh Island,5/10/2019,20190510,seagrass,2,NA,53,0,
48,South Wadleigh Island,5/10/2019,20190510,seagrass,3,NA,141,0,
49,South Wadleigh Island,5/10/2019,20190510,seagrass,4,NA,100,0,
50,South Wadleigh Island,5/10/2019,20190510,seagrass,5,NA,43,0,
51,Shinaku Inlet ,5/17/2019,20190517,seagrass,1,NA,86,2,
52,Shinaku Inlet ,5/17/2019,20190517,seagrass,2,NA,71,0,
53,Shinaku Inlet ,5/17/2019,20190517,seagrass,3,NA,71,0,only 13 measured
54,Shinaku Inlet ,5/17/2019,20190517,seagrass,4,NA,54,4,
55,Shinaku Inlet ,5/17/2019,20190517,seagrass,5,NA,48,0,
56,Guktu Bay,5/18/2019,20190518,seagrass,1,NA,117,0,
57,Guktu Bay,5/18/2019,20190518,seagrass,2,NA,92,0,
58,Guktu Bay,5/18/2019,20190518,seagrass,3,NA,115,0,
59,Guktu Bay,5/18/2019,20190518,seagrass,4,NA,79,0,
60,Guktu Bay,5/18/2019,20190518,seagrass,5,NA,168,0,only 12 measured 
61,Port Refugio,5/19/2019,20190519,seagrass,1,NA,109,0,
62,Port Refugio,5/19/2019,20190519,seagrass,2,NA,122,0,
63,Port Refugio,5/19/2019,20190519,seagrass,3,NA,117,0,
64,Port Refugio,5/19/2019,20190519,seagrass,4,NA,79,0,
65,Port Refugio,5/19/2019,20190519,seagrass,5,NA,84,0,
66,North Fish Egg Island,5/23/19,20190523,seagrass,1,NA,202,0,
67,North Fish Egg Island,5/23/19,20190523,seagrass,2,NA,213,3,
68,North Fish Egg Island,5/23/19,20190523,seagrass,3,NA,302,0,
69,North Fish Egg Island,5/23/19,20190523,seagrass,4,NA,156,0,
70,North Fish Egg Island,5/23/19,20190523,seagrass,5,NA,166,0,
71,Natzuhini Bay,6/16/2019,20190616,seagrass,1,NA,74,1,
72,Natzuhini Bay,6/16/2019,20190616,seagrass,2,NA,91,0,
73,Natzuhini Bay,6/16/2019,20190616,seagrass,3,NA,86,1,
74,Natzuhini Bay,6/16/2019,20190616,seagrass,4,NA,65,0,
75,Natzuhini Bay,6/16/2019,20190616,seagrass,5,NA,64,2,
76,Heceta,6/15/2019,20190615,seagrass,1,NA,53,0,
77,Heceta,6/15/2019,20190615,seagrass,2,NA,69,3,
78,Heceta,6/15/2019,20190615,seagrass,3,NA,43,5,
79,Heceta,6/15/2019,20190615,seagrass,4,NA,40,0,
80,Heceta,6/15/2019,20190615,seagrass,5,NA,54,2,
81,Nossuk Bay,6/14/2019,20190614,seagrass,1,NA,92,0,
82,Nossuk Bay,6/14/2019,20190614,seagrass,2,NA,63,0,
83,Nossuk Bay,6/14/2019,20190614,seagrass,3,NA,62,0,
84,Nossuk Bay,6/14/2019,20190614,seagrass,4,NA,89,2,
85,Nossuk Bay,6/14/2019,20190614,seagrass,5,NA,76,0,
86,Kaguk Cove,6/6/19,20190606,seagrass,1,NA,67,0,
87,Kaguk Cove,6/6/19,20190606,seagrass,2,NA,81,1,
88,Kaguk Cove,6/6/19,20190606,seagrass,3,NA,96,1,
89,Kaguk Cove,6/6/19,20190606,seagrass,4,NA,113,4,
90,Kaguk Cove,6/6/19,20190606,seagrass,5,NA,64,0,
91,Farallon Bay,5/22/19,20190522,seagrass,1,NA,82,0,
92,Farallon Bay,5/22/19,20190522,seagrass,2,NA,62,0,
93,Farallon Bay,5/22/19,20190522,seagrass,3,NA,60,0,
94,Farallon Bay,5/22/19,20190522,seagrass,4,NA,71,0,
95,Farallon Bay,5/22/19,20190522,seagrass,5,NA,35,0,
96,Chusini Cove,5/8/19,20190508,seagrass,1,NA,73,0,
97,Chusini Cove,5/8/19,20190508,seagrass,2,NA,70,0,
98,Chusini Cove,5/8/19,20190508,seagrass,3,NA,117,0,
99,Chusini Cove,5/8/19,20190508,seagrass,4,NA,84,0,
100,Chusini Cove,5/8/19,20190508,seagrass,5,NA,81,0,
101,South Fish Egg Island,5/20/19,20190520,seagrass,1,NA,267,2,
102,South Fish Egg Island,5/20/19,20190520,seagrass,2,NA,372,0,
103,South Fish Egg Island,5/20/19,20190520,seagrass,3,NA,284,0,
104,South Fish Egg Island,5/20/19,20190520,seagrass,4,NA,359,0,
105,South Fish Egg Island,5/20/19,20190520,seagrass,5,NA,332,0,
106,North Fish Egg - kelp,5/11/19,20190511,kelp,1,510,NA,NA,
107,North Fish Egg - kelp,5/11/19,20190511,kelp,2,146,NA,NA,
108,North Fish Egg - kelp,5/11/19,20190511,kelp,3,183,NA,NA,
109,North Fish Egg - kelp,5/11/19,20190511,kelp,4,196,NA,NA,
110,North Fish Egg - kelp,5/11/19,20190511,kelp,5,425,NA,NA,
111,Heceta - kelp,6/3/19,20190603,kelp,1,669.6,NA,NA,
112,Heceta - kelp,6/3/19,20190603,kelp,2,613.4,NA,NA,
113,Heceta - kelp,6/3/19,20190603,kelp,3,449.6,NA,NA,
114,Heceta - kelp,6/3/19,20190603,kelp,4,778.3,NA,NA,
115,Heceta - kelp,6/3/19,20190603,kelp,5,656.3,NA,NA,
116,Baker Island - kelp,6/6/19,20190606,kelp,1,822.3,NA,NA,
117,Baker Island - kelp,6/6/19,20190606,kelp,2,1139.4,NA,NA,
118,Baker Island - kelp,6/6/19,20190606,kelp,3,776.4,NA,NA,
119,Baker Island - kelp,6/6/19,20190606,kelp,4,1701,NA,NA,
120,Baker Island - kelp,6/6/19,20190606,kelp,5,896.2,NA,NA,
121,Craig Highway,5/20/19,20190520,kelp,1,574,NA,NA,
122,Craig Highway,5/20/19,20190520,kelp,2,1500,NA,NA,
123,Craig Highway,5/20/19,20190520,kelp,3,658,NA,NA,
124,Craig Highway,5/20/19,20190520,kelp,4,243,NA,NA,
125,Craig Highway,5/20/19,20190520,kelp,5,663,NA,NA,