Sample_ID,Sample_date,Process_date,Processed_by,Total_mass_g,Total_mass_post_g,Prey_no,Taxa,Taxa_mass_g,Digestion_code,ID_notes
2017_M01_Q3,4/28/17,1/23/19,MB,0.0438,0.03073,1,caprellid amphipod,0.01756,4,"long body, two long antennae on head, four bulby legs, segmented legs in back "
2017_M01_Q3,4/28/17,1/23/19,MB,0.0438,0.03073,2,caprellid amphipod,,4,
2017_M01_Q3,4/28/17,1/23/19,MB,0.0438,0.03073,3,caprellid amphipod,,4,
2017_M01_Q3,4/28/17,1/23/19,MB,0.0438,0.03073,4,unidentified syllidae,0.00229,4,"2 pairs of eyes , 16 pairs of fuzzy legs, segmented body"
2017_M01_Q3,4/28/17,1/23/19,MB,0.0438,0.03073,5,lottia pelta,0.00544,4,"stripes on edge, large spot in middle"
2017_M01_Q3,4/28/17,1/23/19,MB,0.0438,0.03073,6,gammarid amphipod,0.00156,3,"segmented body, antenna, tail, gnathopods!"
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,1,pleocyemata,0.1722,3,definitely not mysids can't distinguish between families
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,2,pleocyemata,,3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,3,pleocyemata,,3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,4,pleocyemata,,3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,5,pleocyemata,,3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,6,pleocyemata,,3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,7,pleocyemata,,3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,8,pleocyemata,,3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,9,pleocyemata,,3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,10,pleocyemata,,3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,11,pleocyemata,,3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,12,pleocyemata,,3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,13,pleocyemata,,3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,14,pleocyemata,,3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,15,pleocyemata,,3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,16,pleocyemata,,3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,17,pleocyemata,,3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,18,pleocyemata,,3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,19,pleocyemata,,3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,20,pleocyemata,,3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,21,pleocyemata parts,0.315,2-3,
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,22,crab megalopae,0.0034,3,too digested to id further
CYAG_1,6/30/2018,12/13/2018,WR,0.459,0.4906,23,crab megalopae,,2,
CYAG_10,7/26/18,1/23/19,MB,0.09491,0.07882,1,unidentified crustacean,0.01012,2,looks like tentacles with suckers
CYAG_10,7/26/18,1/23/19,MB,0.09491,0.07882,2,unidentified,0.06659,2,
CYAG_10,7/26/18,1/23/19,MB,0.09491,0.07882,3,unidentified zoea,0.00211,2,"no head, segmented body, segmented appendages, legs thicker in the front and thinner in the back"
CYAG_10,7/26/18,1/23/19,MB,0.09491,0.07882,4,unidentified zoea,,2,
CYAG_11,7/26/18,1/22/19,MB,0.07344,0.06667,1,unidentified,0.06667,2,
CYAG_12,7/26/18,1/23/19,MB,0.14612,0.12601,1,unidentified,0.12601,2,
CYAG_13,7/26/18,1/23/19,MB,0.0925,0.06205,1,unidentified,0.06205,2,
CYAG_14,7/26/18,2/5/19,MB,0.13606,0.12283,1,unidentified invertebrates,0.00183,2,rostrum present
CYAG_14,7/26/18,2/5/19,MB,0.13606,0.12283,2,unidentified invertebrates,,2,segmented body
CYAG_14,7/26/18,2/5/19,MB,0.13606,0.12283,3,unidentified invertebrates,,2,crustacean claw
CYAG_14,7/26/18,2/5/19,MB,0.13606,0.12283,4,unidentified invertebrates,,2,tail of possible shrimp
CYAG_14,7/26/18,2/5/19,MB,0.13606,0.12283,5,unidentified invertebrates,,2,thin long segmented body and appendages
CYAG_14,7/26/18,2/5/19,MB,0.13606,0.12283,6,unidentified,0.121,2,
CYAG_15,7/27/18,1/22/19,MB,0.02315,0.01458,1,decapod megalopa,0.00004,3,"long pointed rostrum, segmented appendages"
CYAG_15,7/27/18,1/22/19,MB,0.02315,0.01458,2,unidentified decapod,0.00017,2,"biramous appendages, segmented legs"
CYAG_15,7/27/18,1/22/19,MB,0.02315,0.01458,3,unidentified crustacean,0.01437,2,"possible crab, pointed rostrum, large claw"
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,1,unidentified crustacean,0.0023,2,claw attached
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,2,unidentified crustacean,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,3,unidentified invertebrates,0.0179,2,"separated by two pairs of eyes, rostrum"
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,4,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,5,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,6,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,7,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,8,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,9,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,10,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,11,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,12,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,13,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,14,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,15,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,16,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,17,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,18,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,19,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,20,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,21,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,22,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,23,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,24,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,25,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,26,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,27,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,28,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,29,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,30,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,31,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,32,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,33,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,34,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,35,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,36,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,37,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,38,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,39,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,40,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,41,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,42,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,43,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,44,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,45,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,46,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,47,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,48,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,49,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,50,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,51,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,52,unidentified invertebrates,,2,
CYAG_19,7/27/18,2/5/19,MB,0.31115,0.12575,53,unidentified invertebrates,0.10555,2,"unattached eyes and appendages, some segmented bodies"
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,1,gammarid amphipod,0.0769,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,2,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,3,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,4,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,5,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,6,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,7,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,8,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,9,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,10,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,11,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,12,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,13,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,14,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,15,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,16,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,17,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,18,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,19,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,20,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,21,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,22,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,23,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,24,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,25,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,26,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,27,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,28,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,29,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,30,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,31,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,32,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,33,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,34,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,35,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,36,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,37,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,38,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,39,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,40,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,41,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,42,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,43,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,44,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,45,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,46,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,47,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,48,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,49,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,50,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,51,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,52,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,53,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,54,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,55,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,56,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,57,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,58,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,59,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,60,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,61,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,62,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,63,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,64,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,65,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,66,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,67,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,68,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,69,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,70,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,71,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,72,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,73,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,74,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,75,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,76,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,77,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,78,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,79,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,80,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,81,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,82,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,83,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,84,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,85,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,86,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,87,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,88,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,89,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,90,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,91,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,92,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,93,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,94,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,95,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,96,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,97,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,98,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,99,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,100,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,101,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,102,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,103,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,104,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,105,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,106,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,107,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,108,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,109,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,110,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,111,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,112,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,113,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,114,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,115,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,116,gammarid amphipod,,3,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,117,gammarid parts,0.008,2,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,118,flaberifera iso,0.0179,2,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,119,flaberifera iso,,2,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,120,flaberifera iso,,2,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,121,flaberifera iso,,2,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,122,flaberifera iso,,2,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,123,flaberifera iso,,2,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,124,flaberifera iso,,2,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,125,oligochaeta,0.0045,4,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,126,oligochaeta,,4,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,127,oligochaeta,,4,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,128,oligochaeta,,4,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,129,oligochaeta,,4,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,130,oligochaeta,,4,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,131,oligochaeta,,4,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,132,oligochaeta,,4,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,133,oligochaeta,,4,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,134,oligochaeta,,4,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,135,oligochaeta,,4,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,136,oligochaeta,,4,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,137,oligochaeta,,4,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,138,oligochaeta,,4,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,139,oligochaeta,,4,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,140,oligochaeta,,4,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,141,oligochaeta,,4,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,142,oligochaeta,,4,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,143,oligochaeta,,4,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,144,oligochaeta,,4,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,145,oligochaeta,,4,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,146,oligochaeta,,4,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,147,oligochaeta,,4,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,148,oligochaeta,,4,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,149,oligochaeta,,4,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,150,oligochaeta,,4,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,151,oligochaeta,,4,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,152,oligochaeta,,4,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,153,oligochaeta,,4,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,154,oligochaeta,,4,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,155,oligochaeta,,4,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,156,oligochaeta,,4,
CYAG_2,6/30/2018,12/13/2018,WR,1.012,0.78756,157,oligochaeta,,4,
