site_name,bay_code,bay_sample,sample_date,quadrat_location_m,quadrat_no,primary_sediment,secondary_sediment,common_name,scientific_name,species_code,size_mm,samplers,notes,,,
Guktu Bay,GUKT,A,20210725,2,1,3,4,Butter clam,Saxidomus gigantea,CLAMBU,26.4," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,2,1,3,4,Steamer clam,Protothaca staminea,CLAMST,24.9," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,2,1,3,4,Steamer clam,Protothaca staminea,CLAMST,26.3," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,2,1,3,4,Steamer clam,Protothaca staminea,CLAMST,20.4," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,2,1,3,4,Steamer clam,Protothaca staminea,CLAMST,15.5," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,2,1,3,4,Steamer clam,Protothaca staminea,CLAMST,18," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,2,1,3,4,Steamer clam,Protothaca staminea,CLAMST,12.9," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,2,1,3,4,Pointed macoma,Macoma inquinata,CLAMMP,26.4," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,2,1,3,4,Pointed macoma,Macoma inquinata,CLAMMP,19.8," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,2,1,3,4,Pointed macoma,Macoma inquinata,CLAMMP,17.9," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,2,1,3,4,Pointed macoma,Macoma inquinata,CLAMMP,9.2," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,16,2,3,7,Steamer clam,Protothaca staminea,CLAMST,35.8," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,16,2,3,7,Steamer clam,Protothaca staminea,CLAMST,25.9," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,16,2,3,7,Steamer clam,Protothaca staminea,CLAMST,21.1," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,16,2,3,7,Steamer clam,Protothaca staminea,CLAMST,21.3," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,16,2,3,7,Steamer clam,Protothaca staminea,CLAMST,16.8," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,16,2,3,7,Steamer clam,Protothaca staminea,CLAMST,21.1," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,16,2,3,7,Steamer clam,Protothaca staminea,CLAMST,24.4," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,16,2,3,7,Steamer clam,Protothaca staminea,CLAMST,23.4," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,16,2,3,7,Steamer clam,Protothaca staminea,CLAMST,26.1," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,16,2,3,7,Steamer clam,Protothaca staminea,CLAMST,24.6," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,16,2,3,7,Steamer clam,Protothaca staminea,CLAMST,23," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,16,2,3,7,Pointed macoma,Macoma inquinata,CLAMMP,23.9," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,16,2,3,7,Pointed macoma,Macoma inquinata,CLAMMP,22.8," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,16,2,3,7,Pointed macoma,Macoma inquinata,CLAMMP,25.9," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,22.3," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,20," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,14.5," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,20," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,23.6," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,23.6," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,19," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,21.7," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,27.5," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,26.9," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,22.3," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,19.4," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,20.9," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,16.1," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,14.9," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,20.4," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,16.6," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,30.2," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,20.5," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,29.7," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,18.1," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,23.2," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,21.5," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,20.2," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,24.7," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,24.4," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,30.6," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,25.5," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,20.4," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,21.1," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,31.4," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,16.3," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,23.2," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,20," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,26.7," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,18.8," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,22.5," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Pointed macoma,Macoma inquinata,CLAMMP,19," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Pointed macoma,Macoma inquinata,CLAMMP,20.8," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Pointed macoma,Macoma inquinata,CLAMMP,23.2," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,34,4,3,7,Butter clam,Saxidomus gigantea,CLAMBU,18.8," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,50,5,2,4,Steamer clam,Protothaca staminea,CLAMST,22," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,50,5,2,4,Cockle,Clinocardium nutallii,CLAMCK,20.3," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,50,5,2,4,Bentnose macoma,Macoma nasuta,CLAMMB,31.2," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,50,5,2,4,Bentnose macoma,Macoma nasuta,CLAMMB,41.5," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,50,5,2,4,Bentnose macoma,Macoma nasuta,CLAMMB,33," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,50,5,2,4,Pointed macoma,Macoma inquinata,CLAMMP,41.1," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,50,5,2,4,Pointed macoma,Macoma inquinata,CLAMMP,33.8," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,50,5,2,4,Pointed macoma,Macoma inquinata,CLAMMP,30.4," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,60,6,2,3,Cockle,Clinocardium nutallii,CLAMCK,19.8," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,60,6,2,3,Bentnose macoma,Macoma nasuta,CLAMMB,30.4," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,60,6,2,3,Bentnose macoma,Macoma nasuta,CLAMMB,33.3," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,60,6,2,3,Pointed macoma,Macoma inquinata,CLAMMP,33.3," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,60,6,2,3,Pointed macoma,Macoma inquinata,CLAMMP,33.8," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,60,6,2,3,Pointed macoma,Macoma inquinata,CLAMMP,25.6," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,67,7,3,4,Steamer clam,Protothaca staminea,CLAMST,32.3," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,67,7,3,4,Steamer clam,Protothaca staminea,CLAMST,26.6," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,67,7,3,4,Bentnose macoma,Macoma nasuta,CLAMMB,41.1," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,67,7,3,4,Pointed macoma,Macoma inquinata,CLAMMP,43.9," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,67,7,3,4,Pointed macoma,Macoma inquinata,CLAMMP,31.3," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,67,7,3,4,Pointed macoma,Macoma inquinata,CLAMMP,37.4," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,76,8,3,4,Steamer clam,Protothaca staminea,CLAMST,29.9," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,76,8,3,4,Cockle,Clinocardium nutallii,CLAMCK,24.1," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,76,8,3,4,Cockle,Clinocardium nutallii,CLAMCK,23.9," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,76,8,3,4,Pointed macoma,Macoma inquinata,CLAMMP,33.6," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,80,9,3,4,Bentnose macoma,Macoma nasuta,CLAMMB,33.7," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,80,9,3,4,Bentnose macoma,Macoma nasuta,CLAMMB,41," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,80,9,3,4,Pointed macoma,Macoma inquinata,CLAMMP,38.4," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,80,9,3,4,Pointed macoma,Macoma inquinata,CLAMMP,36.6," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,96,10,2,4,Bentnose macoma,Macoma nasuta,CLAMMB,34.6," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,96,10,2,4,Bentnose macoma,Macoma nasuta,CLAMMB,36.2," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,96,10,2,4,Pointed macoma,Macoma inquinata,CLAMMP,27.2," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,96,10,2,4,Pointed macoma,Macoma inquinata,CLAMMP,26.2," Carter, Emma",,,,
Guktu Bay,GUKT,A,20210725,96,10,2,4,Geoduck,Panopea generosa,CLAMGD,69.4," Carter, Emma",estimate based on siphon,,,
Shinaku,SHIN,A,20210722,2,1,3,7,Butter clam,Saxidomus gigantea,CLAMBU,52.8,"Emma, Ginny",,,,
Shinaku,SHIN,A,20210722,2,1,3,7,Steamer clam,Protothaca staminea,CLAMST,24.7,"Emma, Ginny",,,,
Shinaku,SHIN,A,20210722,2,1,3,7,Steamer clam,Protothaca staminea,CLAMST,30.2,"Emma, Ginny",,,,
Shinaku,SHIN,A,20210722,2,1,3,7,Steamer clam,Protothaca staminea,CLAMST,34.9,"Emma, Ginny",,,,
Shinaku,SHIN,A,20210722,2,1,3,7,Steamer clam,Protothaca staminea,CLAMST,33.1,"Emma, Ginny",,,,
Shinaku,SHIN,A,20210722,2,1,3,7,Steamer clam,Protothaca staminea,CLAMST,24.7,"Emma, Ginny",,,,
Shinaku,SHIN,A,20210722,2,1,3,7,Steamer clam,Protothaca staminea,CLAMST,32,"Emma, Ginny",,,,
Shinaku,SHIN,A,20210722,2,1,3,7,Bentnose macoma,Macoma nasuta,CLAMMB,40.5,"Emma, Ginny",,,,
Shinaku,SHIN,A,20210722,2,1,3,7,Bentnose macoma,Macoma nasuta,CLAMMB,35.2,"Emma, Ginny",,,,
Shinaku,SHIN,A,20210722,16,2,3,7,NA,NA,NA,NA,"Emma, Ginny",no clams,,,
Shinaku,SHIN,A,20210722,27,3,3,7,Butter clam,Saxidomus gigantea,CLAMBU,39.5,"Emma, Ginny",estimate,,,
Shinaku,SHIN,A,20210722,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,30.8,"Emma, Ginny",,,,
Shinaku,SHIN,A,20210722,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,28,"Emma, Ginny",,,,
Shinaku,SHIN,A,20210722,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,33.4,"Emma, Ginny",,,,
Shinaku,SHIN,A,20210722,27,3,3,7,Bentnose macoma,Macoma nasuta,CLAMMB,50.1,"Emma, Ginny",,,,
Shinaku,SHIN,A,20210722,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,45,"Emma, Ginny",,,,
Shinaku,SHIN,A,20210722,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,34.7,"Emma, Ginny",,,,
Shinaku,SHIN,A,20210722,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,30,"Emma, Ginny",,,,
Shinaku,SHIN,A,20210722,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,36.4,"Emma, Ginny",,,,
Shinaku,SHIN,A,20210722,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,23.3,"Emma, Ginny",,,,
Shinaku,SHIN,A,20210722,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,36,"Emma, Ginny",,,,
Shinaku,SHIN,A,20210722,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,23.2,"Emma, Ginny",,,,
Shinaku,SHIN,A,20210722,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,14.1,"Emma, Ginny",,,,
Shinaku,SHIN,A,20210722,50,5,3,7,Steamer clam,Protothaca staminea,CLAMST,27.5,"Emma, Ginny",,,,
Shinaku,SHIN,A,20210722,50,5,3,7,Steamer clam,Protothaca staminea,CLAMST,28.4,"Emma, Ginny",,,,
Shinaku,SHIN,A,20210722,60,6,5,6,Butter clam,Saxidomus gigantea,CLAMBU,49.2,"Emma, Ginny",,,,
Shinaku,SHIN,A,20210722,60,6,5,6,Steamer clam,Protothaca staminea,CLAMST,38.2,"Emma, Ginny",,,,
Shinaku,SHIN,A,20210722,60,6,5,6,Steamer clam,Protothaca staminea,CLAMST,34,"Emma, Ginny",,,,
Shinaku,SHIN,A,20210722,60,6,5,6,Steamer clam,Protothaca staminea,CLAMST,33.6,"Emma, Ginny",,,,
Shinaku,SHIN,A,20210722,60,6,5,6,Bentnose macoma,Macoma nasuta,CLAMMB,49.2,"Emma, Ginny",,,,
Shinaku,SHIN,A,20210722,67,7,5,6,Pointed macoma,Macoma inquinata,CLAMMP,44.9,"Emma, Ginny",,,,
Shinaku,SHIN,A,20210722,76,8,5,6,Cockle,Clinocardium nutallii,CLAMCK,39.1,"Emma, Ginny",,,,
Shinaku,SHIN,A,20210722,76,8,5,6,Bentnose macoma,Macoma nasuta,CLAMMB,8.4,"Emma, Ginny",,,,
Shinaku,SHIN,A,20210722,80,9,5,6,Butter clam,Saxidomus gigantea,CLAMBU,57.5,"Emma, Ginny",,,,
Shinaku,SHIN,A,20210722,80,9,5,6,Steamer clam,Protothaca staminea,CLAMST,18.6,"Emma, Ginny",,,,
Shinaku,SHIN,A,20210722,80,9,5,6,Steamer clam,Protothaca staminea,CLAMST,42.9,"Emma, Ginny",,,,
Shinaku,SHIN,A,20210722,96,10,5,6,Steamer clam,Protothaca staminea,CLAMST,39.1,"Emma, Ginny",,,,
Shinaku,SHIN,A,20210722,96,10,5,6,Bentnose macoma,Macoma nasuta,CLAMMB,31.1,"Emma, Ginny",,,,
Shinaku,SHIN,A,20210722,96,10,5,6,Bentnose macoma,Macoma nasuta,CLAMMB,32,"Emma, Ginny",,,,
North Fish Egg Island,NEFI,A,20210721,2,1,3,3,Bentnose macoma,Macoma nasuta,CLAMMB,58.7,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,2,1,3,3,Pointed macoma,Macoma inquinata,CLAMMP,21.8,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,16,2,3,3,Butter clam,Saxidomus gigantea,CLAMBU,59.1,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,16,2,3,3,Bentnose macoma,Macoma nasuta,CLAMMB,24.4,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,16,2,3,3,Pointed macoma,Macoma inquinata,CLAMMP,48.7,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,27,3,3,3,Cockle,Clinocardium nutallii,CLAMCK,80,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,27,3,3,3,Bentnose macoma,Macoma nasuta,CLAMMB,39.4,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,27,3,3,3,Bentnose macoma,Macoma nasuta,CLAMMB,46.9,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,27,3,3,3,Bentnose macoma,Macoma nasuta,CLAMMB,18.7,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,27,3,3,3,Bentnose macoma,Macoma nasuta,CLAMMB,20.7,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,34,4,3,3,Cockle,Clinocardium nutallii,CLAMCK,35.9,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,34,4,3,3,Bentnose macoma,Macoma nasuta,CLAMMB,22.1,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,34,4,3,3,Bentnose macoma,Macoma nasuta,CLAMMB,26.1,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,34,4,3,3,Bentnose macoma,Macoma nasuta,CLAMMB,39.6,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,50,5,3,3,Steamer clam,Protothaca staminea,CLAMST,53.7,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,50,5,3,3,Steamer clam,Protothaca staminea,CLAMST,59.9,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,50,5,3,3,Steamer clam,Protothaca staminea,CLAMST,53,"Ginny, Jessica, Emma",estimate,,,
North Fish Egg Island,NEFI,A,20210721,50,5,3,3,Bentnose macoma,Macoma nasuta,CLAMMB,48.2,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,50,5,3,3,Bentnose macoma,Macoma nasuta,CLAMMB,19.4,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,50,5,3,3,Bentnose macoma,Macoma nasuta,CLAMMB,29.1,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,50,5,3,3,Bentnose macoma,Macoma nasuta,CLAMMB,32.8,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,50,5,3,3,Bentnose macoma,Macoma nasuta,CLAMMB,18.4,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,50,5,3,3,Bentnose macoma,Macoma nasuta,CLAMMB,22.4,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,60,6,3,3,Steamer clam,Protothaca staminea,CLAMST,30.5,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,60,6,3,3,Cockle,Clinocardium nutallii,CLAMCK,86.1,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,60,6,3,3,Bentnose macoma,Macoma nasuta,CLAMMB,46,"Ginny, Jessica, Emma",,,,
