site_name,bay_code,bay_sample,sample_date,quadrat_location_m,quadrat_no,primary_sediment,secondary_sediment,common_name,scientific_name,species_code,size_mm,samplers,notes,,,
North Fish Egg Island,NEFI,A,20210721,60,6,3,3,Bentnose macoma,Macoma nasuta,CLAMMB,51.4,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,60,6,3,3,Bentnose macoma,Macoma nasuta,CLAMMB,30.8,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,60,6,3,3,Bentnose macoma,Macoma nasuta,CLAMMB,34,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,67,7,3,3,Steamer clam,Protothaca staminea,CLAMST,51.5,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,67,7,3,3,Bentnose macoma,Macoma nasuta,CLAMMB,54,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,67,7,3,3,Bentnose macoma,Macoma nasuta,CLAMMB,19,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,67,7,3,3,Bentnose macoma,Macoma nasuta,CLAMMB,29.9,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,76,8,3,6,Butter clam,Saxidomus gigantea,CLAMBU,45.1,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,76,8,3,6,Steamer clam,Protothaca staminea,CLAMST,61.5,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,76,8,3,6,Steamer clam,Protothaca staminea,CLAMST,33,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,76,8,3,6,Bentnose macoma,Macoma nasuta,CLAMMB,26.5,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,76,8,3,6,Bentnose macoma,Macoma nasuta,CLAMMB,20.3,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,76,8,3,6,Bentnose macoma,Macoma nasuta,CLAMMB,28,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,76,8,3,6,Bentnose macoma,Macoma nasuta,CLAMMB,25.6,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,80,9,3,3,Butter clam,Saxidomus gigantea,CLAMBU,56.3,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,80,9,3,3,Butter clam,Saxidomus gigantea,CLAMBU,61.1,"Ginny, Jessica, Emma",estimate,,,
North Fish Egg Island,NEFI,A,20210721,80,9,3,3,Steamer clam,Protothaca staminea,CLAMST,57.4,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,80,9,3,3,Steamer clam,Protothaca staminea,CLAMST,45.5,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,80,9,3,3,Steamer clam,Protothaca staminea,CLAMST,58.9,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,80,9,3,3,Steamer clam,Protothaca staminea,CLAMST,41,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,80,9,3,3,Steamer clam,Protothaca staminea,CLAMST,60.5,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,80,9,3,3,Steamer clam,Protothaca staminea,CLAMST,61.3,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,80,9,3,3,Bentnose macoma,Macoma nasuta,CLAMMB,49.6,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,80,9,3,3,Blunt gaper,Mya truncata,CLAMBL,50.3,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,96,10,3,7,Steamer clam,Protothaca staminea,CLAMST,58.2,"Ginny, Jessica, Emma",,,,
North Fish Egg Island,NEFI,A,20210721,96,10,3,7,Steamer clam,Protothaca staminea,CLAMST,51.6,"Ginny, Jessica, Emma",,,,
Natzuhini Bay,NATZ,A,20210723,2,1,3,7,Steamer clam,Protothaca staminea,CLAMST,44.2,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,2,1,3,7,Steamer clam,Protothaca staminea,CLAMST,46.7,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,2,1,3,7,Steamer clam,Protothaca staminea,CLAMST,50.9,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,2,1,3,7,Steamer clam,Protothaca staminea,CLAMST,52.5,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,2,1,3,7,Steamer clam,Protothaca staminea,CLAMST,54.3,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,2,1,3,7,Steamer clam,Protothaca staminea,CLAMST,55.7,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,2,1,3,7,Bentnose macoma,Macoma nasuta,CLAMMB,18,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,2,1,3,7,Bentnose macoma,Macoma nasuta,CLAMMB,23.8,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,2,1,3,7,Pointed macoma,Macoma inquinata,CLAMMP,28.2,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,16,2,3,7,Steamer clam,Protothaca staminea,CLAMST,50,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,16,2,3,7,Steamer clam,Protothaca staminea,CLAMST,50.2,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,16,2,3,7,Cockle,Clinocardium nutallii,CLAMCK,53.9,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,27,3,3,6,Butter clam,Saxidomus gigantea,CLAMBU,73.5,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,27,3,3,6,Butter clam,Saxidomus gigantea,CLAMBU,54.6,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,27,3,3,6,Steamer clam,Protothaca staminea,CLAMST,47.6,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,27,3,3,6,Steamer clam,Protothaca staminea,CLAMST,60.1,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,27,3,3,6,Cockle,Clinocardium nutallii,CLAMCK,69.8,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,27,3,3,6,Cockle,Clinocardium nutallii,CLAMCK,51.9,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,27,3,3,6,Cockle,Clinocardium nutallii,CLAMCK,21.7,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,27,3,3,6,Cockle,Clinocardium nutallii,CLAMCK,19,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,27,3,3,6,Pointed macoma,Macoma inquinata,CLAMMP,23.7,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,27,3,3,6,Pointed macoma,Macoma inquinata,CLAMMP,22.6,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,27,3,3,6,Pointed macoma,Macoma inquinata,CLAMMP,25.3,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,34,4,3,7,Butter clam,Saxidomus gigantea,CLAMBU,64,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,54.2,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,34,4,3,7,Steamer clam,Protothaca staminea,CLAMST,38.5,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,50,5,3,7,Butter clam,Saxidomus gigantea,CLAMBU,70.9,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,50,5,3,7,Steamer clam,Protothaca staminea,CLAMST,60.5,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,50,5,3,7,Bentnose macoma,Macoma nasuta,CLAMMB,25.6,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,50,5,3,7,Bentnose macoma,Macoma nasuta,CLAMMB,20.6,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,60,6,3,7,na,na,na,na,"Carter, Emmett, Jessica",no clams,,,
Natzuhini Bay,NATZ,A,20210723,67,7,3,7,Butter clam,Saxidomus gigantea,CLAMBU,74.6,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,67,7,3,7,Pointed macoma,Macoma inquinata,CLAMMP,34.8,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,76,8,3,7,Butter clam,Saxidomus gigantea,CLAMBU,70.3,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,76,8,3,7,Steamer clam,Protothaca staminea,CLAMST,59.9,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,76,8,3,7,Steamer clam,Protothaca staminea,CLAMST,57.1,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,76,8,3,7,Steamer clam,Protothaca staminea,CLAMST,56.9,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,80,9,3,7,Steamer clam,Protothaca staminea,CLAMST,51.2,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,80,9,3,7,Steamer clam,Protothaca staminea,CLAMST,57.7,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,80,9,3,7,Steamer clam,Protothaca staminea,CLAMST,45.4,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,80,9,3,7,Steamer clam,Protothaca staminea,CLAMST,49.1,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,80,9,3,7,Steamer clam,Protothaca staminea,CLAMST,57.2,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,96,10,3,7,Butter clam,Saxidomus gigantea,CLAMBU,77.1,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,96,10,3,7,Butter clam,Saxidomus gigantea,CLAMBU,58.7,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,96,10,3,7,Steamer clam,Protothaca staminea,CLAMST,54.9,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,96,10,3,7,Steamer clam,Protothaca staminea,CLAMST,33.5,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,96,10,3,7,Bentnose macoma,Macoma nasuta,CLAMMB,38.8,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,96,10,3,7,Bentnose macoma,Macoma nasuta,CLAMMB,31.3,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,96,10,3,7,Bentnose macoma,Macoma nasuta,CLAMMB,20.1,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,96,10,3,7,Bentnose macoma,Macoma nasuta,CLAMMB,16,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,96,10,3,7,Bentnose macoma,Macoma nasuta,CLAMMB,21.8,"Carter, Emmett, Jessica",,,,
Natzuhini Bay,NATZ,A,20210723,96,10,3,7,Pointed macoma,Macoma inquinata,CLAMMP,25,"Carter, Emmett, Jessica",,,,
Nossuk Bay,NOSK,A,20210726,2,1,1,1,na,na,na,na,"Carter, Emma",no clams,,,
Nossuk Bay,NOSK,A,20210726,16,2,1,2,na,na,na,na,"Carter, Emma",no clams,,,
Nossuk Bay,NOSK,A,20210726,27,3,1,2,Steamer clam,Protothaca staminea,CLAMST,37.2,"Carter, Emma",,,,
Nossuk Bay,NOSK,A,20210726,34,4,2,2,Steamer clam,Protothaca staminea,CLAMST,37.7,"Carter, Emma",estimate,,,
Nossuk Bay,NOSK,A,20210726,50,5,1,2,Butter clam,Saxidomus gigantea,CLAMBU,41.4,"Carter, Emma",,,,
Nossuk Bay,NOSK,A,20210726,50,5,1,2,Steamer clam,Protothaca staminea,CLAMST,34.2,"Carter, Emma",,,,
Nossuk Bay,NOSK,A,20210726,50,5,1,2,Steamer clam,Protothaca staminea,CLAMST,42.9,"Carter, Emma",,,,
Nossuk Bay,NOSK,A,20210726,50,5,1,2,Steamer clam,Protothaca staminea,CLAMST,36,"Carter, Emma",,,,
Nossuk Bay,NOSK,A,20210726,50,5,1,2,Bentnose macoma,Macoma nasuta,CLAMMB,25.9,"Carter, Emma",,,,
Nossuk Bay,NOSK,A,20210726,50,5,1,2,Pointed macoma,Macoma inquinata,CLAMMP,18.6,"Carter, Emma",,,,
Nossuk Bay,NOSK,A,20210726,50,5,1,2,Pointed macoma,Macoma inquinata,CLAMMP,20.4,"Carter, Emma",,,,
Nossuk Bay,NOSK,A,20210726,50,5,1,2,Pointed macoma,Macoma inquinata,CLAMMP,17.7,"Carter, Emma",,,,
Nossuk Bay,NOSK,A,20210726,50,5,1,2,Pointed macoma,Macoma inquinata,CLAMMP,19.3,"Carter, Emma",mussel 26.5,,,
Nossuk Bay,NOSK,A,20210726,60,6,3,4,Cockle,Clinocardium nutallii,CLAMCK,29.6,"Carter, Emma",,,,
Nossuk Bay,NOSK,A,20210726,60,6,3,4,Pointed macoma,Macoma inquinata,CLAMMP,19.2,"Carter, Emma",,,,
Nossuk Bay,NOSK,A,20210726,60,6,3,4,Pointed macoma,Macoma inquinata,CLAMMP,30.9,"Carter, Emma",,,,
Nossuk Bay,NOSK,A,20210726,67,7,3,4,Steamer clam,Protothaca staminea,CLAMST,42.3,"Carter, Emma",,,,
Nossuk Bay,NOSK,A,20210726,67,7,3,4,Steamer clam,Protothaca staminea,CLAMST,34.4,"Carter, Emma",,,,
Nossuk Bay,NOSK,A,20210726,67,7,3,4,Steamer clam,Protothaca staminea,CLAMST,23.9,"Carter, Emma",,,,
Nossuk Bay,NOSK,A,20210726,76,8,3,4,Butter clam,Saxidomus gigantea,CLAMBU,56,"Carter, Emma",,,,
Nossuk Bay,NOSK,A,20210726,76,8,3,4,Butter clam,Saxidomus gigantea,CLAMBU,29.9,"Carter, Emma",,,,
Nossuk Bay,NOSK,A,20210726,76,8,3,4,Steamer clam,Protothaca staminea,CLAMST,36.2,"Carter, Emma",,,,
Nossuk Bay,NOSK,A,20210726,76,8,3,4,Steamer clam,Protothaca staminea,CLAMST,36.2,"Carter, Emma",,,,
Nossuk Bay,NOSK,A,20210726,80,9,2,2,Steamer clam,Protothaca staminea,CLAMST,37.7,"Carter, Emma",,,,
Nossuk Bay,NOSK,A,20210726,80,9,2,2,Steamer clam,Protothaca staminea,CLAMST,34.5,"Carter, Emma",,,,
Nossuk Bay,NOSK,A,20210726,80,9,2,2,Steamer clam,Protothaca staminea,CLAMST,40,"Carter, Emma",,,,
Nossuk Bay,NOSK,A,20210726,80,9,2,2,Steamer clam,Protothaca staminea,CLAMST,39.6,"Carter, Emma",,,,
Nossuk Bay,NOSK,A,20210726,80,9,2,2,Steamer clam,Protothaca staminea,CLAMST,27.8,"Carter, Emma",estimate,,,
Nossuk Bay,NOSK,A,20210726,80,9,2,2,Cockle,Clinocardium nutallii,CLAMCK,33.1,"Carter, Emma",,,,
Nossuk Bay,NOSK,A,20210726,96,10,3,2,na,na,na,na,"Carter, Emma",no clams,,,
Port Refugio,REFU,A,20210724,2,1,1,1,Bentnose macoma,Macoma nasuta,CLAMMB,49.2,,,,,
Port Refugio,REFU,A,20210724,2,1,1,1,Bentnose macoma,Macoma nasuta,CLAMMB,45.5,,,,,
Port Refugio,REFU,A,20210724,2,1,1,1,Bentnose macoma,Macoma nasuta,CLAMMB,48,,,,,
Port Refugio,REFU,A,20210724,2,1,1,1,Bentnose macoma,Macoma nasuta,CLAMMB,54.3,,estimate,,,
Port Refugio,REFU,A,20210724,2,1,1,1,Bentnose macoma,Macoma nasuta,CLAMMB,34.1,,,,,
Port Refugio,REFU,A,20210724,2,1,1,1,Bentnose macoma,Macoma nasuta,CLAMMB,41.7,,,,,
Port Refugio,REFU,A,20210724,2,1,1,1,Bentnose macoma,Macoma nasuta,CLAMMB,46.3,,,,,
Port Refugio,REFU,A,20210724,2,1,1,1,Bentnose macoma,Macoma nasuta,CLAMMB,40.3,,,,,
Port Refugio,REFU,A,20210724,2,1,1,1,Pointed macoma,Macoma inquinata,CLAMMP,44.4,,,,,
Port Refugio,REFU,A,20210724,2,1,1,1,Pointed macoma,Macoma inquinata,CLAMMP,36.6,,,,,
Port Refugio,REFU,A,20210724,2,1,1,1,Pointed macoma,Macoma inquinata,CLAMMP,42,,,,,
Port Refugio,REFU,A,20210724,2,1,1,1,Macoma sp.,Macoma sp.,CLMMAC,42,,estimate,,,
Port Refugio,REFU,A,20210724,16,2,1,1,Butter clam,Saxidomus gigantea,CLAMBU,80.8,,,,,
Port Refugio,REFU,A,20210724,16,2,1,1,Butter clam,Saxidomus gigantea,CLAMBU,72.7,,,,,
Port Refugio,REFU,A,20210724,16,2,1,1,Butter clam,Saxidomus gigantea,CLAMBU,85.7,,,,,
Port Refugio,REFU,A,20210724,16,2,1,1,Steamer clam,Protothaca staminea,CLAMST,48.3,,,,,
Port Refugio,REFU,A,20210724,16,2,1,1,Steamer clam,Protothaca staminea,CLAMST,43.3,,,,,
Port Refugio,REFU,A,20210724,16,2,1,1,Cockle,Clinocardium nutallii,CLAMCK,25.8,,,,,
Port Refugio,REFU,A,20210724,16,2,1,1,Bentnose macoma,Macoma nasuta,CLAMMB,47.3,,,,,
Port Refugio,REFU,A,20210724,16,2,1,1,Bentnose macoma,Macoma nasuta,CLAMMB,46.6,,,,,
Port Refugio,REFU,A,20210724,16,2,1,1,Bentnose macoma,Macoma nasuta,CLAMMB,51.9,,,,,
Port Refugio,REFU,A,20210724,16,2,1,1,Pointed macoma,Macoma inquinata,CLAMMP,30.1,,,,,
Port Refugio,REFU,A,20210724,16,2,1,1,Pointed macoma,Macoma inquinata,CLAMMP,43.8,,,,,
Port Refugio,REFU,A,20210724,16,2,1,1,Pointed macoma,Macoma inquinata,CLAMMP,22.8,,,,,
Port Refugio,REFU,A,20210724,16,2,1,1,Pointed macoma,Macoma inquinata,CLAMMP,24.5,,,,,
Port Refugio,REFU,A,20210724,27,3,1,1,Pointed macoma,Macoma inquinata,CLAMMP,22.7,,,,,
Port Refugio,REFU,A,20210724,27,3,1,1,Pointed macoma,Macoma inquinata,CLAMMP,42.9,,,,,
Port Refugio,REFU,A,20210724,27,3,1,1,Pointed macoma,Macoma inquinata,CLAMMP,36.9,,,,,
Port Refugio,REFU,A,20210724,34,4,1,1,Steamer clam,Protothaca staminea,CLAMST,36,,,,,
Port Refugio,REFU,A,20210724,34,4,1,1,Bentnose macoma,Macoma nasuta,CLAMMB,61.6,,,,,
Port Refugio,REFU,A,20210724,34,4,1,1,Bentnose macoma,Macoma nasuta,CLAMMB,36.1,,,,,
Port Refugio,REFU,A,20210724,34,4,1,1,Bentnose macoma,Macoma nasuta,CLAMMB,51,,,,,
Port Refugio,REFU,A,20210724,34,4,1,1,Bentnose macoma,Macoma nasuta,CLAMMB,33.1,,,,,
Port Refugio,REFU,A,20210724,50,5,1,2,Steamer clam,Protothaca staminea,CLAMST,56.9,,,,,
Port Refugio,REFU,A,20210724,50,5,1,2,Bentnose macoma,Macoma nasuta,CLAMMB,57.4,,,,,
Port Refugio,REFU,A,20210724,50,5,1,2,Pointed macoma,Macoma inquinata,CLAMMP,33.2,,,,,
Port Refugio,REFU,A,20210724,60,6,1,2,Steamer clam,Protothaca staminea,CLAMST,38.2,,,,,
Port Refugio,REFU,A,20210724,60,6,1,2,Cockle,Clinocardium nutallii,CLAMCK,31.8,,,,,
Port Refugio,REFU,A,20210724,60,6,1,2,Bentnose macoma,Macoma nasuta,CLAMMB,49.7,,,,,
Port Refugio,REFU,A,20210724,60,6,1,2,Bentnose macoma,Macoma nasuta,CLAMMB,30.7,,,,,
Port Refugio,REFU,A,20210724,60,6,1,2,Bentnose macoma,Macoma nasuta,CLAMMB,25.7,,,,,
Port Refugio,REFU,A,20210724,60,6,1,2,Pointed macoma,Macoma inquinata,CLAMMP,35,,,,,
Port Refugio,REFU,A,20210724,67,7,2,3,Steamer clam,Protothaca staminea,CLAMST,56.8,,,,,
Port Refugio,REFU,A,20210724,67,7,2,3,Steamer clam,Protothaca staminea,CLAMST,23.7,,,,,
Port Refugio,REFU,A,20210724,67,7,2,3,Bentnose macoma,Macoma nasuta,CLAMMB,35.7,,,,,
Port Refugio,REFU,A,20210724,67,7,2,3,Bentnose macoma,Macoma nasuta,CLAMMB,25.6,,,,,
Port Refugio,REFU,A,20210724,67,7,2,3,Pointed macoma,Macoma inquinata,CLAMMP,33.5,,,,,
Port Refugio,REFU,A,20210724,76,8,2,3,Bentnose macoma,Macoma nasuta,CLAMMB,31.5,,,,,
Port Refugio,REFU,A,20210724,76,8,2,3,Pointed macoma,Macoma inquinata,CLAMMP,42.9,,,,,
Port Refugio,REFU,A,20210724,76,8,2,3,Pointed macoma,Macoma inquinata,CLAMMP,34.9,,,,,
Port Refugio,REFU,A,20210724,80,9,2,3,Steamer clam,Protothaca staminea,CLAMST,43.5,,,,,
Port Refugio,REFU,A,20210724,80,9,2,3,Bentnose macoma,Macoma nasuta,CLAMMB,32.1,,,,,
Port Refugio,REFU,A,20210724,80,9,2,3,Bentnose macoma,Macoma nasuta,CLAMMB,49.2,,,,,
Port Refugio,REFU,A,20210724,80,9,2,3,Pointed macoma,Macoma inquinata,CLAMMP,26.4,,,,,
Port Refugio,REFU,A,20210724,96,10,2,3,Butter clam,Saxidomus gigantea,CLAMBU,77.1,,,,,
Port Refugio,REFU,A,20210724,96,10,2,3,Butter clam,Saxidomus gigantea,CLAMBU,77.5,,,,,
Port Refugio,REFU,A,20210724,96,10,2,3,Butter clam,Saxidomus gigantea,CLAMBU,25.4,,,,,
Port Refugio,REFU,A,20210724,96,10,2,3,Bentnose macoma,Macoma nasuta,CLAMMB,27.6,,,,,
Port Refugio,REFU,A,20210724,96,10,2,3,Bentnose macoma,Macoma nasuta,CLAMMB,28.9,,,,,