"","site_name","bay_code","bay_sample","sample_date","quadrat_location_m","quadrat_no","primary_sediment","secondary_sediment","common_name","scientific_name","species_code","size_mm","samplers","notes","year","latitude","longitude"
"1","Guktu Bay","GUKT","A",20210725,2,1,3,4,"butter clam","Saxidomus gigantea","CLAMBU",26.4," Carter, Emma","",2021,55.739816,-133.312022
"2","Guktu Bay","GUKT","A",20210725,2,1,3,4,"steamer clam","Protothaca staminea","CLAMST",24.9," Carter, Emma","",2021,55.739816,-133.312022
"3","Guktu Bay","GUKT","A",20210725,2,1,3,4,"steamer clam","Protothaca staminea","CLAMST",26.3," Carter, Emma","",2021,55.739816,-133.312022
"4","Guktu Bay","GUKT","A",20210725,2,1,3,4,"steamer clam","Protothaca staminea","CLAMST",20.4," Carter, Emma","",2021,55.739816,-133.312022
"5","Guktu Bay","GUKT","A",20210725,2,1,3,4,"steamer clam","Protothaca staminea","CLAMST",15.5," Carter, Emma","",2021,55.739816,-133.312022
"6","Guktu Bay","GUKT","A",20210725,2,1,3,4,"steamer clam","Protothaca staminea","CLAMST",18," Carter, Emma","",2021,55.739816,-133.312022
"7","Guktu Bay","GUKT","A",20210725,2,1,3,4,"steamer clam","Protothaca staminea","CLAMST",12.9," Carter, Emma","",2021,55.739816,-133.312022
"8","Guktu Bay","GUKT","A",20210725,2,1,3,4,"pointed macoma","Macoma inquinata","CLMPOI",26.4," Carter, Emma","",2021,55.739816,-133.312022
"9","Guktu Bay","GUKT","A",20210725,2,1,3,4,"pointed macoma","Macoma inquinata","CLMPOI",19.8," Carter, Emma","",2021,55.739816,-133.312022
"10","Guktu Bay","GUKT","A",20210725,2,1,3,4,"pointed macoma","Macoma inquinata","CLMPOI",17.9," Carter, Emma","",2021,55.739816,-133.312022
"11","Guktu Bay","GUKT","A",20210725,2,1,3,4,"pointed macoma","Macoma inquinata","CLMPOI",9.2," Carter, Emma","",2021,55.739816,-133.312022
"12","Guktu Bay","GUKT","A",20210725,16,2,3,7,"steamer clam","Protothaca staminea","CLAMST",35.8," Carter, Emma","",2021,55.739816,-133.312022
"13","Guktu Bay","GUKT","A",20210725,16,2,3,7,"steamer clam","Protothaca staminea","CLAMST",25.9," Carter, Emma","",2021,55.739816,-133.312022
"14","Guktu Bay","GUKT","A",20210725,16,2,3,7,"steamer clam","Protothaca staminea","CLAMST",21.1," Carter, Emma","",2021,55.739816,-133.312022
"15","Guktu Bay","GUKT","A",20210725,16,2,3,7,"steamer clam","Protothaca staminea","CLAMST",21.3," Carter, Emma","",2021,55.739816,-133.312022
"16","Guktu Bay","GUKT","A",20210725,16,2,3,7,"steamer clam","Protothaca staminea","CLAMST",16.8," Carter, Emma","",2021,55.739816,-133.312022
"17","Guktu Bay","GUKT","A",20210725,16,2,3,7,"steamer clam","Protothaca staminea","CLAMST",21.1," Carter, Emma","",2021,55.739816,-133.312022
"18","Guktu Bay","GUKT","A",20210725,16,2,3,7,"steamer clam","Protothaca staminea","CLAMST",24.4," Carter, Emma","",2021,55.739816,-133.312022
"19","Guktu Bay","GUKT","A",20210725,16,2,3,7,"steamer clam","Protothaca staminea","CLAMST",23.4," Carter, Emma","",2021,55.739816,-133.312022
"20","Guktu Bay","GUKT","A",20210725,16,2,3,7,"steamer clam","Protothaca staminea","CLAMST",26.1," Carter, Emma","",2021,55.739816,-133.312022
"21","Guktu Bay","GUKT","A",20210725,16,2,3,7,"steamer clam","Protothaca staminea","CLAMST",24.6," Carter, Emma","",2021,55.739816,-133.312022
"22","Guktu Bay","GUKT","A",20210725,16,2,3,7,"steamer clam","Protothaca staminea","CLAMST",23," Carter, Emma","",2021,55.739816,-133.312022
"23","Guktu Bay","GUKT","A",20210725,16,2,3,7,"pointed macoma","Macoma inquinata","CLMPOI",23.9," Carter, Emma","",2021,55.739816,-133.312022
"24","Guktu Bay","GUKT","A",20210725,16,2,3,7,"pointed macoma","Macoma inquinata","CLMPOI",22.8," Carter, Emma","",2021,55.739816,-133.312022
"25","Guktu Bay","GUKT","A",20210725,16,2,3,7,"pointed macoma","Macoma inquinata","CLMPOI",25.9," Carter, Emma","",2021,55.739816,-133.312022
"26","Guktu Bay","GUKT","A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",22.3," Carter, Emma","",2021,55.739816,-133.312022
"27","Guktu Bay","GUKT","A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",20," Carter, Emma","",2021,55.739816,-133.312022
"28","Guktu Bay","GUKT","A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",14.5," Carter, Emma","",2021,55.739816,-133.312022
"29","Guktu Bay","GUKT","A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",20," Carter, Emma","",2021,55.739816,-133.312022
"30","Guktu Bay","GUKT","A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",23.6," Carter, Emma","",2021,55.739816,-133.312022
"31","Guktu Bay","GUKT","A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",23.6," Carter, Emma","",2021,55.739816,-133.312022
"32","Guktu Bay","GUKT","A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",19," Carter, Emma","",2021,55.739816,-133.312022
"33","Guktu Bay","GUKT","A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",21.7," Carter, Emma","",2021,55.739816,-133.312022
"34","Guktu Bay","GUKT","A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",27.5," Carter, Emma","",2021,55.739816,-133.312022
"35","Guktu Bay","GUKT","A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",26.9," Carter, Emma","",2021,55.739816,-133.312022
"36","Guktu Bay","GUKT","A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",22.3," Carter, Emma","",2021,55.739816,-133.312022
"37","Guktu Bay","GUKT","A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",19.4," Carter, Emma","",2021,55.739816,-133.312022
"38","Guktu Bay","GUKT","A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",20.9," Carter, Emma","",2021,55.739816,-133.312022
"39","Guktu Bay","GUKT","A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",16.1," Carter, Emma","",2021,55.739816,-133.312022
"40","Guktu Bay","GUKT","A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",14.9," Carter, Emma","",2021,55.739816,-133.312022
"41","Guktu Bay","GUKT","A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",20.4," Carter, Emma","",2021,55.739816,-133.312022
"42","Guktu Bay","GUKT","A",20210725,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",16.6," Carter, Emma","",2021,55.739816,-133.312022
"43","Guktu Bay","GUKT","A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",30.2," Carter, Emma","",2021,55.739816,-133.312022
"44","Guktu Bay","GUKT","A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",20.5," Carter, Emma","",2021,55.739816,-133.312022
"45","Guktu Bay","GUKT","A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",29.7," Carter, Emma","",2021,55.739816,-133.312022
"46","Guktu Bay","GUKT","A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",18.1," Carter, Emma","",2021,55.739816,-133.312022
"47","Guktu Bay","GUKT","A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",23.2," Carter, Emma","",2021,55.739816,-133.312022
"48","Guktu Bay","GUKT","A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",21.5," Carter, Emma","",2021,55.739816,-133.312022
"49","Guktu Bay","GUKT","A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",20.2," Carter, Emma","",2021,55.739816,-133.312022
"50","Guktu Bay","GUKT","A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",24.7," Carter, Emma","",2021,55.739816,-133.312022
"51","Guktu Bay","GUKT","A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",24.4," Carter, Emma","",2021,55.739816,-133.312022
"52","Guktu Bay","GUKT","A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",30.6," Carter, Emma","",2021,55.739816,-133.312022
"53","Guktu Bay","GUKT","A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",25.5," Carter, Emma","",2021,55.739816,-133.312022
"54","Guktu Bay","GUKT","A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",20.4," Carter, Emma","",2021,55.739816,-133.312022
"55","Guktu Bay","GUKT","A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",21.1," Carter, Emma","",2021,55.739816,-133.312022
"56","Guktu Bay","GUKT","A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",31.4," Carter, Emma","",2021,55.739816,-133.312022
"57","Guktu Bay","GUKT","A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",16.3," Carter, Emma","",2021,55.739816,-133.312022
"58","Guktu Bay","GUKT","A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",23.2," Carter, Emma","",2021,55.739816,-133.312022
"59","Guktu Bay","GUKT","A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",20," Carter, Emma","",2021,55.739816,-133.312022
"60","Guktu Bay","GUKT","A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",26.7," Carter, Emma","",2021,55.739816,-133.312022
"61","Guktu Bay","GUKT","A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",18.8," Carter, Emma","",2021,55.739816,-133.312022
"62","Guktu Bay","GUKT","A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",22.5," Carter, Emma","",2021,55.739816,-133.312022
"63","Guktu Bay","GUKT","A",20210725,34,4,3,7,"pointed macoma","Macoma inquinata","CLMPOI",19," Carter, Emma","",2021,55.739816,-133.312022
"64","Guktu Bay","GUKT","A",20210725,34,4,3,7,"pointed macoma","Macoma inquinata","CLMPOI",20.8," Carter, Emma","",2021,55.739816,-133.312022
"65","Guktu Bay","GUKT","A",20210725,34,4,3,7,"pointed macoma","Macoma inquinata","CLMPOI",23.2," Carter, Emma","",2021,55.739816,-133.312022
"66","Guktu Bay","GUKT","A",20210725,34,4,3,7,"butter clam","Saxidomus gigantea","CLAMBU",18.8," Carter, Emma","",2021,55.739816,-133.312022
"67","Guktu Bay","GUKT","A",20210725,50,5,2,4,"steamer clam","Protothaca staminea","CLAMST",22," Carter, Emma","",2021,55.739816,-133.312022
"68","Guktu Bay","GUKT","A",20210725,50,5,2,4,"cockle","Clinocardium nutallii","CLAMCK",20.3," Carter, Emma","",2021,55.739816,-133.312022
"69","Guktu Bay","GUKT","A",20210725,50,5,2,4,"bentnose macoma","Macoma nasuta","CLAMMB",31.2," Carter, Emma","",2021,55.739816,-133.312022
"70","Guktu Bay","GUKT","A",20210725,50,5,2,4,"bentnose macoma","Macoma nasuta","CLAMMB",41.5," Carter, Emma","",2021,55.739816,-133.312022
"71","Guktu Bay","GUKT","A",20210725,50,5,2,4,"bentnose macoma","Macoma nasuta","CLAMMB",33," Carter, Emma","",2021,55.739816,-133.312022
"72","Guktu Bay","GUKT","A",20210725,50,5,2,4,"pointed macoma","Macoma inquinata","CLMPOI",41.1," Carter, Emma","",2021,55.739816,-133.312022
"73","Guktu Bay","GUKT","A",20210725,50,5,2,4,"pointed macoma","Macoma inquinata","CLMPOI",33.8," Carter, Emma","",2021,55.739816,-133.312022
"74","Guktu Bay","GUKT","A",20210725,50,5,2,4,"pointed macoma","Macoma inquinata","CLMPOI",30.4," Carter, Emma","",2021,55.739816,-133.312022
"75","Guktu Bay","GUKT","A",20210725,60,6,2,3,"cockle","Clinocardium nutallii","CLAMCK",19.8," Carter, Emma","",2021,55.739816,-133.312022
"76","Guktu Bay","GUKT","A",20210725,60,6,2,3,"bentnose macoma","Macoma nasuta","CLAMMB",30.4," Carter, Emma","",2021,55.739816,-133.312022
"77","Guktu Bay","GUKT","A",20210725,60,6,2,3,"bentnose macoma","Macoma nasuta","CLAMMB",33.3," Carter, Emma","",2021,55.739816,-133.312022
"78","Guktu Bay","GUKT","A",20210725,60,6,2,3,"pointed macoma","Macoma inquinata","CLMPOI",33.3," Carter, Emma","",2021,55.739816,-133.312022
"79","Guktu Bay","GUKT","A",20210725,60,6,2,3,"pointed macoma","Macoma inquinata","CLMPOI",33.8," Carter, Emma","",2021,55.739816,-133.312022
"80","Guktu Bay","GUKT","A",20210725,60,6,2,3,"pointed macoma","Macoma inquinata","CLMPOI",25.6," Carter, Emma","",2021,55.739816,-133.312022
"81","Guktu Bay","GUKT","A",20210725,67,7,3,4,"steamer clam","Protothaca staminea","CLAMST",32.3," Carter, Emma","",2021,55.739816,-133.312022
"82","Guktu Bay","GUKT","A",20210725,67,7,3,4,"steamer clam","Protothaca staminea","CLAMST",26.6," Carter, Emma","",2021,55.739816,-133.312022
"83","Guktu Bay","GUKT","A",20210725,67,7,3,4,"bentnose macoma","Macoma nasuta","CLAMMB",41.1," Carter, Emma","",2021,55.739816,-133.312022
"84","Guktu Bay","GUKT","A",20210725,67,7,3,4,"pointed macoma","Macoma inquinata","CLMPOI",43.9," Carter, Emma","",2021,55.739816,-133.312022
"85","Guktu Bay","GUKT","A",20210725,67,7,3,4,"pointed macoma","Macoma inquinata","CLMPOI",31.3," Carter, Emma","",2021,55.739816,-133.312022
"86","Guktu Bay","GUKT","A",20210725,67,7,3,4,"pointed macoma","Macoma inquinata","CLMPOI",37.4," Carter, Emma","",2021,55.739816,-133.312022
"87","Guktu Bay","GUKT","A",20210725,76,8,3,4,"steamer clam","Protothaca staminea","CLAMST",29.9," Carter, Emma","",2021,55.739816,-133.312022
"88","Guktu Bay","GUKT","A",20210725,76,8,3,4,"cockle","Clinocardium nutallii","CLAMCK",24.1," Carter, Emma","",2021,55.739816,-133.312022
"89","Guktu Bay","GUKT","A",20210725,76,8,3,4,"cockle","Clinocardium nutallii","CLAMCK",23.9," Carter, Emma","",2021,55.739816,-133.312022
"90","Guktu Bay","GUKT","A",20210725,76,8,3,4,"pointed macoma","Macoma inquinata","CLMPOI",33.6," Carter, Emma","",2021,55.739816,-133.312022
"91","Guktu Bay","GUKT","A",20210725,80,9,3,4,"bentnose macoma","Macoma nasuta","CLAMMB",33.7," Carter, Emma","",2021,55.739816,-133.312022
"92","Guktu Bay","GUKT","A",20210725,80,9,3,4,"bentnose macoma","Macoma nasuta","CLAMMB",41," Carter, Emma","",2021,55.739816,-133.312022
"93","Guktu Bay","GUKT","A",20210725,80,9,3,4,"pointed macoma","Macoma inquinata","CLMPOI",38.4," Carter, Emma","",2021,55.739816,-133.312022
"94","Guktu Bay","GUKT","A",20210725,80,9,3,4,"pointed macoma","Macoma inquinata","CLMPOI",36.6," Carter, Emma","",2021,55.739816,-133.312022
"95","Guktu Bay","GUKT","A",20210725,96,10,2,4,"bentnose macoma","Macoma nasuta","CLAMMB",34.6," Carter, Emma","",2021,55.739816,-133.312022
"96","Guktu Bay","GUKT","A",20210725,96,10,2,4,"bentnose macoma","Macoma nasuta","CLAMMB",36.2," Carter, Emma","",2021,55.739816,-133.312022
"97","Guktu Bay","GUKT","A",20210725,96,10,2,4,"pointed macoma","Macoma inquinata","CLMPOI",27.2," Carter, Emma","",2021,55.739816,-133.312022
"98","Guktu Bay","GUKT","A",20210725,96,10,2,4,"pointed macoma","Macoma inquinata","CLMPOI",26.2," Carter, Emma","",2021,55.739816,-133.312022
"99","Guktu Bay","GUKT","A",20210725,96,10,2,4,"geoduck","Panopea generosa","CLAMGD",69.4," Carter, Emma","estimate based on siphon",2021,55.739816,-133.312022
"100","Shinaku","SHIN","A",20210722,2,1,3,7,"butter clam","Saxidomus gigantea","CLAMBU",52.8,"Emma, Ginny","",2021,55.59929,-133.16
"101","Shinaku","SHIN","A",20210722,2,1,3,7,"steamer clam","Protothaca staminea","CLAMST",24.7,"Emma, Ginny","",2021,55.59929,-133.16
"102","Shinaku","SHIN","A",20210722,2,1,3,7,"steamer clam","Protothaca staminea","CLAMST",30.2,"Emma, Ginny","",2021,55.59929,-133.16
"103","Shinaku","SHIN","A",20210722,2,1,3,7,"steamer clam","Protothaca staminea","CLAMST",34.9,"Emma, Ginny","",2021,55.59929,-133.16
"104","Shinaku","SHIN","A",20210722,2,1,3,7,"steamer clam","Protothaca staminea","CLAMST",33.1,"Emma, Ginny","",2021,55.59929,-133.16
"105","Shinaku","SHIN","A",20210722,2,1,3,7,"steamer clam","Protothaca staminea","CLAMST",24.7,"Emma, Ginny","",2021,55.59929,-133.16
"106","Shinaku","SHIN","A",20210722,2,1,3,7,"steamer clam","Protothaca staminea","CLAMST",32,"Emma, Ginny","",2021,55.59929,-133.16
"107","Shinaku","SHIN","A",20210722,2,1,3,7,"bentnose macoma","Macoma nasuta","CLAMMB",40.5,"Emma, Ginny","",2021,55.59929,-133.16
"108","Shinaku","SHIN","A",20210722,2,1,3,7,"bentnose macoma","Macoma nasuta","CLAMMB",35.2,"Emma, Ginny","",2021,55.59929,-133.16
"109","Shinaku","SHIN","A",20210722,16,2,3,7,NA,NA,NA,NA,"Emma, Ginny","no clams",2021,55.59929,-133.16
"110","Shinaku","SHIN","A",20210722,27,3,3,7,"butter clam","Saxidomus gigantea","CLAMBU",39.5,"Emma, Ginny","estimate",2021,55.59929,-133.16
"111","Shinaku","SHIN","A",20210722,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",30.8,"Emma, Ginny","",2021,55.59929,-133.16
"112","Shinaku","SHIN","A",20210722,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",28,"Emma, Ginny","",2021,55.59929,-133.16
"113","Shinaku","SHIN","A",20210722,27,3,3,7,"steamer clam","Protothaca staminea","CLAMST",33.4,"Emma, Ginny","",2021,55.59929,-133.16
"114","Shinaku","SHIN","A",20210722,27,3,3,7,"bentnose macoma","Macoma nasuta","CLAMMB",50.1,"Emma, Ginny","",2021,55.59929,-133.16
"115","Shinaku","SHIN","A",20210722,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",45,"Emma, Ginny","",2021,55.59929,-133.16
"116","Shinaku","SHIN","A",20210722,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",34.7,"Emma, Ginny","",2021,55.59929,-133.16
"117","Shinaku","SHIN","A",20210722,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",30,"Emma, Ginny","",2021,55.59929,-133.16
"118","Shinaku","SHIN","A",20210722,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",36.4,"Emma, Ginny","",2021,55.59929,-133.16
"119","Shinaku","SHIN","A",20210722,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",23.3,"Emma, Ginny","",2021,55.59929,-133.16
"120","Shinaku","SHIN","A",20210722,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",36,"Emma, Ginny","",2021,55.59929,-133.16
"121","Shinaku","SHIN","A",20210722,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",23.2,"Emma, Ginny","",2021,55.59929,-133.16
"122","Shinaku","SHIN","A",20210722,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",14.1,"Emma, Ginny","",2021,55.59929,-133.16
"123","Shinaku","SHIN","A",20210722,50,5,3,7,"steamer clam","Protothaca staminea","CLAMST",27.5,"Emma, Ginny","",2021,55.59929,-133.16
"124","Shinaku","SHIN","A",20210722,50,5,3,7,"steamer clam","Protothaca staminea","CLAMST",28.4,"Emma, Ginny","",2021,55.59929,-133.16
"125","Shinaku","SHIN","A",20210722,60,6,5,6,"butter clam","Saxidomus gigantea","CLAMBU",49.2,"Emma, Ginny","",2021,55.59929,-133.16
"126","Shinaku","SHIN","A",20210722,60,6,5,6,"steamer clam","Protothaca staminea","CLAMST",38.2,"Emma, Ginny","",2021,55.59929,-133.16
"127","Shinaku","SHIN","A",20210722,60,6,5,6,"steamer clam","Protothaca staminea","CLAMST",34,"Emma, Ginny","",2021,55.59929,-133.16
"128","Shinaku","SHIN","A",20210722,60,6,5,6,"steamer clam","Protothaca staminea","CLAMST",33.6,"Emma, Ginny","",2021,55.59929,-133.16
"129","Shinaku","SHIN","A",20210722,60,6,5,6,"bentnose macoma","Macoma nasuta","CLAMMB",49.2,"Emma, Ginny","",2021,55.59929,-133.16
"130","Shinaku","SHIN","A",20210722,67,7,5,6,"pointed macoma","Macoma inquinata","CLMPOI",44.9,"Emma, Ginny","",2021,55.59929,-133.16
"131","Shinaku","SHIN","A",20210722,76,8,5,6,"cockle","Clinocardium nutallii","CLAMCK",39.1,"Emma, Ginny","",2021,55.59929,-133.16
"132","Shinaku","SHIN","A",20210722,76,8,5,6,"bentnose macoma","Macoma nasuta","CLAMMB",8.4,"Emma, Ginny","",2021,55.59929,-133.16
"133","Shinaku","SHIN","A",20210722,80,9,5,6,"butter clam","Saxidomus gigantea","CLAMBU",57.5,"Emma, Ginny","",2021,55.59929,-133.16
"134","Shinaku","SHIN","A",20210722,80,9,5,6,"steamer clam","Protothaca staminea","CLAMST",18.6,"Emma, Ginny","",2021,55.59929,-133.16
"135","Shinaku","SHIN","A",20210722,80,9,5,6,"steamer clam","Protothaca staminea","CLAMST",42.9,"Emma, Ginny","",2021,55.59929,-133.16
"136","Shinaku","SHIN","A",20210722,96,10,5,6,"steamer clam","Protothaca staminea","CLAMST",39.1,"Emma, Ginny","",2021,55.59929,-133.16
"137","Shinaku","SHIN","A",20210722,96,10,5,6,"bentnose macoma","Macoma nasuta","CLAMMB",31.1,"Emma, Ginny","",2021,55.59929,-133.16
"138","Shinaku","SHIN","A",20210722,96,10,5,6,"bentnose macoma","Macoma nasuta","CLAMMB",32,"Emma, Ginny","",2021,55.59929,-133.16
"139","North Fish Egg Island","NFEI","A",20210721,2,1,3,3,"bentnose macoma","Macoma nasuta","CLAMMB",58.7,"Ginny, Jessica, Emma","",2021,55.49709,-133.17
